id;nom;niveau;complexite;discipline;sphere;cout;tempsIncantation;uniteIncantation;difficulte;cle;effet;rulebook;effetJeu;perception;duree;dureeUnite;cibles;tags
cache-cache;Cache-cache;1;20;Sorcellerie;Cités;5;1;Heure;15;vêtements bien ajustés, danse de la chance, rune de silence;en jetant ce sort sur des vêtements, le mage leur donne la capacité de couvrir les bruits de celui qui les porte pendant (1 + NR) jours. Le porteur bénéficie ainsi d'un bonus de +5 à sa Compétence de Discrétion.;livre-de-regles-2e-edition;Le porteur des vêtements enchantés bénéficie d'un bonus de +5 à sa Compétence de Discrétion.;Les vêtements couvrent les bruits de celui qui les porte.;1 + NR;day;;amelioration,objet,exploration
chemin-de-khy;Chemin de Khy;1;5;Invocatoire;Cités;2;3;Tour;15;posture d'écoute, rune de la sagesse tracée en l'air, complainte de la cité;en invoquant la sagesse de Khy, le mage se voit attribuer un bonus de +5 sur ses jets d'orientation en milieu urbain (Orientation ou Vie en cité) pendant (1 + NR) heures.;livre-de-regles-2e-edition;Bonus de +5 sur les jets d'orientation en milieu urbain (Orientation ou Vie en cité).;Le mage invoque la sagesse de Khy.;1 + NR;hour;;amelioration,soi,exploration,urbain
cle-audacieuse;Clé audacieuse;1;15;Sorcellerie;Cités;5;1;Heure;15;petit levier, lime, rune de la famille;le mage enchante un levier qui devient capable de déverrouiller n'importe quelle porte fermée pendant (1 + NR) jours.;livre-de-regles-2e-edition;Le levier enchanté déverrouille n'importe quelle porte fermée.;;1 + NR;day;;utilitaire,objet,exploration
element-du-decor;Élément du décor;1;10;Instinctive;Cités;3;1;Action;15;cape, rune de Khy;en s'appuyant contre un mur, le mage en prend la teinte pendant (30 + 30 par NR) minutes. Il peut ainsi se soustraire au regard des autres. La Difficulté pour le repérer augmente de +15. Si le mage utilise la magie ou parle, le sort s'arrête aussitôt. Ce sort ne fonctionne qu'en milieu urbain (village, ville, cité).;livre-de-regles-2e-edition;La Difficulté pour repérer le mage augmente de +15. Le sort s'arrête aussitôt si le mage parle ou utilise la magie. Ne fonctionne qu'en milieu urbain (village, ville, cité).;En s'appuyant contre un mur, le mage en prend la teinte et se soustrait au regard des autres.;30 + 30 par NR;minute;;illusion,soi,exploration,urbain
flanerie-passagere;Flânerie passagère;1;5;Instinctive;Cités;2;1;Action;15;petits cailloux blancs, murmures;en lançant ce sort, le mage distrait (1 + NR) cibles pendant (1 + NR) tours. Elles voient la Difficulté de leurs actions augmenter de 5 durant ce laps de temps. Ce sort est inefficace en situation de combat.;livre-de-regles-2e-edition;Les cibles distraites voient la Difficulté de leurs actions augmenter de 5. Inefficace en situation de combat.;;1 + NR;round;1 + NR;entrave,ennemi,exploration
heureuse-coincidence;Heureuse coïncidence;1;5;Invocatoire;Cités;1;1;Tour;15;sifflement, posture nonchalante;le mage découvre le nom d'une personne inconnue qu'il observe. Il bénéficie d'un bonus de (1 + NR) à ses jets de Compétence liés à l'Attribut Social pendant leur première conversation.;livre-de-regles-2e-edition;Le mage apprend le nom d'une personne inconnue qu'il observe, et gagne un bonus de (1 + NR) à ses jets de Compétence liés à l'Attribut Social pendant leur première conversation.;;;;;detection,amelioration,social
murmure-melodieux;Murmure mélodieux;1;15;Invocatoire;Cités;5;2;Tour;15;voix faible, rune du silence;le mage peut parler à une personne située à (75 + 10 par NR) mètres de lui pendant 3 tours comme s'il murmurait au creux de son oreille. Personne d'autre que la cible ne pourra l'entendre.;livre-de-regles-2e-edition;Portée de (75 + 10 par NR) mètres. Personne d'autre que la cible ne peut entendre le mage.;Le mage parle à sa cible comme s'il lui murmurait au creux de l'oreille.;3;round;;communication,allie,social
oeil-indiscret;Œil indiscret;1;5;Invocatoire;Cités;3;2;Tour;15;morceau de craie, rune de Khy tracée sur le mur ou la porte;en traçant un petit cercle sur un mur ou sur une porte, le mage peut observer à travers, mais pas entendre ce qui se passe, pendant (10 + 10 par NR) minutes.;livre-de-regles-2e-edition;Le mage voit à travers le mur ou la porte, mais n'entend pas ce qui s'y passe.;Le mage trace un petit cercle sur un mur ou sur une porte et observe au travers.;10 + 10 par NR;minute;;detection,lieu,exploration
poudre-descampette;Poudre d'escampette;1;20;Instinctive;Cités;4;2;Action;18;rune de l'oubli, voix, sentiment de confusion;ce sort ne fonctionne que dans des endroits permettant de se perdre (cité, forêt, château, etc.). Le mage peut semer (2 + NR) poursuivants pendant 1 heure.;livre-de-regles-2e-edition;Le mage sème (2 + NR) poursuivants. Ne fonctionne que dans un endroit permettant de se perdre (cité, forêt, château, etc.).;;1;hour;2 + NR;deplacement,soi,exploration
poursuite-de-khy;Poursuite de Khy;1;20;Sorcellerie;Cités;3;3;Heure;15;carte d'une ville ou d'un lieu, charbon pilé, voix grave;le mage pose une carte sur une table et y déverse de la poudre de charbon. Les poussières s'embrasent et se rejoignent là où se trouve la personne ou l'objet que cherche le mage. La localisation reste cependant très imprécise. De plus le charbon brûle la carte en 1 tour. La poudre de charbon reste enchantée (1 + NR) cycles.;livre-de-regles-2e-edition;"Localise une personne ou un objet, de façon très imprécise. Le charbon brûle la carte en 1 tour ; la poudre reste enchantée (1 + NR) cycles.";"Le mage déverse de la poudre de charbon sur une carte posée sur une table ; les poussières s'embrasent et se rejoignent là où se trouve ce qu'il cherche.";1 + NR;cycle;;detection,objet,exploration
sourire-enchanteur;Sourire enchanteur;1;10;Instinctive;Cités;4;1;Action;15;sourire, fard à joue;le mage augmente son Attribut Social de 3 pendant (10 + 10 par NR) minutes.;livre-de-regles-2e-edition;Attribut Social +3.;;10 + 10 par NR;minute;;amelioration,soi,social
temoin-des-ruelles;Témoin des ruelles;1;5;Invocatoire;Cités;3;2;Tour;15;gestuelle de recherche, voix murmurante;le mage invoque une petite créature non agressive capable de repérer les passages dérobés qui reste à son service pendant (10 + 10 par NR) minutes.;livre-de-regles-2e-edition;La créature invoquée repère les passages dérobés et reste au service du mage.;Le mage invoque une petite créature non agressive.;10 + 10 par NR;minute;;invocation,detection,exploration,urbain
